Year,Units,general.territorio,Serie,DIM_DES.EDAD,Value
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,65.23
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,65.22
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,67.49
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,70.76
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,72.84
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,EDAD.Y16T74,76.2
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.15
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,94.18
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,93.16
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.11
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,95.54
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,EDAD.Y16T24,96.0
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,61.28
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,61.41
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,64.11
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,67.48
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,EDAD.Y25T74,69.68
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,EDAD.Y16T74,60.70
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,EDAD.Y16T74,59.40
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,EDAD.Y16T74,65.80
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,EDAD.Y16T74,64.70
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,EDAD.Y16T74,69.41
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,EDAD.Y16T74,79.2
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,EDAD.Y16T24,96.10
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,EDAD.Y16T24,89.20
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,EDAD.Y16T24,90.40
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,EDAD.Y16T24,95.80
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,EDAD.Y16T24,99.56
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,EDAD.Y16T24,99.2
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,EDAD.Y25T74,55.89
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,EDAD.Y25T74,55.3
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,EDAD.Y25T74,62.49
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,EDAD.Y25T74,60.4
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,EDAD.Y25T74,65.26
