Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.UMBRAL_POBREZA,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.72
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.65
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.83
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.38
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,22.23
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,22.13
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,22.35
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.61
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.54
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.66
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.97
